D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.0
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.0
44901|2012|Honda|Civic|SUV|Red|103221|6995.0
10113|2010|Toyota|Camry|Sedan|Blue|85000|12000.0
10114|2015|Nissan|Altima|Sedan|Red|30000|15000.0
10115|2018|Chevrolet|Malibu|Sedan|Green|22000|18000.0
10116|2019|Mazda|CX-5|SUV|Red|15000|25000.0
10117|2016|Subaru|Outback|SUV|Green|50000|23000.0
10118|2011|Hyundai|Elantra|Sedan|Blue|90000|11000.0
10119|2020|Kia|Sorento|SUV|Blue|25000|30000.0
10120|2017|Volkswagen|Jetta|Sedan|Yellow|40000|19000.0
10121|2014|Chrysler|300|Sedan|Green|70000|23000.0
10122|2021|Ford|Mustang|Coupe|Blue|5000|35000.0
10123|2005|Jeep|Wrangler|SUV|Yellow|120000|18000.0
10124|2013|Dodge|Charger|Sedan|Green|65000|22000.0
10125|2018|BMW|X3|SUV|Red|30000|38000.0
10126|2022|Tesla|Model 3|Sedan|Blue|10000|45000.0
10127|2019|GMC|Terrain|SUV|Red|15000|30000.0
10128|2011|Toyota|Tacoma|Truck|Green|85000|22000.0
10129|2020|Honda|HR-V|SUV|Blue|20000|27000.0
10130|2015|Chevrolet|Cruze|Sedan|Red|55000|13000.0
10131|2021|Subaru|Forester|SUV|Green|12000|32000.0
